Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-7gnq,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: hedonic,Spreadsheet: uti,Manipulation: Spreadsheet,branch-4sm5
11,1746994601657,"11/05/2025, 20:16:41",1746976601657,-5,"11/05/2025, 10:16:41",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 10,evnn3p,6,continue,,19041.79699999999,19033.33599999998,19041.79699999999,19041.79699999999,19033.33599999998,19041.79699999999,1,0,0,,Click To Continue,Continue Button,6,object-110,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
12,1746994601659,"11/05/2025, 20:16:41",1746976601659,-5,"11/05/2025, 10:16:41",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 10,evnn3p,6,response,Somewhat valuable,5700.212999999989,19033.33599999998,19044.497000047675,5700.212999999989,19033.33599999998,19044.497000047675,1,13344.284000047686,0,,Rating Scale,Rating Scale,3,object-107,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
13,1746994601660,"11/05/2025, 20:16:41",1746976601660,-5,"11/05/2025, 10:16:41",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 10,evnn3p,6,response,Neutral,15149.834999999992,19033.33599999998,19044.79699999999,15149.834999999992,19033.33599999998,19044.79699999999,1,3894.9619999999995,0,,Rating Scale,Rating Scale,5,object-109,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
14,1746994620173,"11/05/2025, 20:17:00",1746976620173,-5,"11/05/2025, 10:17:00",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 2,Screen 2,7hdzze,1,continue,,18525.161000047694,18516.553000000014,18525.161000047694,18525.161000047694,18516.553000000014,18525.161000047694,1,0,0,,Click To Continue,Continue Button,3,object-50,Display 2,both_uti_hd.png,both_hed_hd.png,,consent
15,1746994678843,"11/05/2025, 20:17:58",1746976678843,-5,"11/05/2025, 10:17:58",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 2,Screen 3,9p8xm6,2,response,68,23816.41200000001,58666,58677.50800002384,23816.41200000001,58666,58677.50800002384,1,34861.09600002383,0,,Single Number Entry,Single Number Entry,6,object-58,Display 2,both_uti_hd.png,both_hed_hd.png,,consent
16,1746994678846,"11/05/2025, 20:17:58",1746976678846,-5,"11/05/2025, 10:17:58",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 2,Screen 3,9p8xm6,2,response,Unlikely,21299.84600000002,58666,58681.10800004768,21299.84600000002,58666,58681.10800004768,1,37381.26200004766,0,,Rating Scale,Rating Scale,4,object-56,Display 2,both_uti_hd.png,both_hed_hd.png,,consent
17,1746994695240,"11/05/2025, 20:18:15",1746976695240,-5,"11/05/2025, 10:18:15",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 2,Screen 6,zx7nrg,3,continue,,16408.60800004768,16399.898999999976,16408.60800004768,16408.60800004768,16399.898999999976,16408.60800004768,1,0,0,,Click To Continue,Continue Button,6,object-118,Display 2,both_uti_hd.png,both_hed_hd.png,,consent
18,1746994695242,"11/05/2025, 20:18:15",1746976695242,-5,"11/05/2025, 10:18:15",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 2,Screen 6,zx7nrg,3,response,Moderately valuable,9916.825000000012,16399.898999999976,16411.10800004768,9916.825000000012,16399.898999999976,16411.10800004768,1,6494.283000047668,0,,Rating Scale,Rating Scale,3,object-115,Display 2,both_uti_hd.png,both_hed_hd.png,,consent
19,1746994695242,"11/05/2025, 20:18:15",1746976695242,-5,"11/05/2025, 10:18:15",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 2,Screen 6,zx7nrg,3,response,Trust fairly well,13483.348999999987,16399.898999999976,16411.307999976154,13483.348999999987,16399.898999999976,16411.307999976154,1,2927.9589999761665,0,,Rating Scale,Rating Scale,5,object-117,Display 2,both_uti_hd.png,both_hed_hd.png,,consent
20,1746994707741,"11/05/2025, 20:18:27",1746976707741,-5,"11/05/2025, 10:18:27",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 2,Screen 4,auj52o,4,continue,,12509.408999976178,12500.100000000035,12509.408999976178,12509.408999976178,12500.100000000035,12509.408999976178,1,0,0,,Click To Continue,Continue Button,3,object-80,Display 2,both_uti_hd.png,both_hed_hd.png,,consent
21,1746994729611,"11/05/2025, 20:18:49",1746976729611,-5,"11/05/2025, 10:18:49",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 2,Screen 8,wdarmw,5,response,95,5033.131999999983,21866.436999999976,21879.10900004767,5033.131999999983,21866.436999999976,21879.10900004767,1,16845.977000047686,0,,Single Number Entry,Single Number Entry,6,object-133,Display 2,both_uti_hd.png,both_hed_hd.png,,consent
22,1746994729613,"11/05/2025, 20:18:49",1746976729613,-5,"11/05/2025, 10:18:49",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 2,Screen 8,wdarmw,5,response,Neutral,3099.8759999999893,21866.436999999976,21881.60900004767,3099.8759999999893,21866.436999999976,21881.60900004767,1,18781.73300004768,0,,Rating Scale,Rating Scale,4,object-131,Display 2,both_uti_hd.png,both_hed_hd.png,,consent
23,1746994742189,"11/05/2025, 20:19:02",1746976742189,-5,"11/05/2025, 10:19:02",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 2,Screen 7,2ia6gz,6,continue,,12591.371999976167,12583.25099999999,12591.371999976167,12591.371999976167,12583.25099999999,12591.371999976167,1,0,0,,Click To Continue,Continue Button,6,object-126,Display 2,both_uti_hd.png,both_hed_hd.png,,consent
24,1746994742192,"11/05/2025, 20:19:02",1746976742192,-5,"11/05/2025, 10:19:02",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 2,Screen 7,2ia6gz,6,response,Moderately valuable,4849.805999999982,12583.25099999999,12593.972000000009,4849.805999999982,12583.25099999999,12593.972000000009,1,7744.1660000000265,0,,Rating Scale,Rating Scale,3,object-123,Display 2,both_uti_hd.png,both_hed_hd.png,,consent
25,1746994742192,"11/05/2025, 20:19:02",1746976742192,-5,"11/05/2025, 10:19:02",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 2,Screen 7,2ia6gz,6,response,Trust fairly well,11266.636999999988,12583.25099999999,12594.271999952325,11266.636999999988,12583.25099999999,12594.271999952325,1,1327.6349999523372,0,,Rating Scale,Rating Scale,5,object-125,Display 2,both_uti_hd.png,both_hed_hd.png,,consent
26,1746994742198,"11/05/2025, 20:19:02",1746976742198,-5,"11/05/2025, 10:19:02",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,,,,,,,info,END,,,359938,,,,,,,,,,,,,,,,consent
﻿1,1746996540029,"11/05/2025, 20:49:00",1746978540029,-5,"11/05/2025, 10:49:00",226982,9,task-yeyg,,46071227,13397990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x778,,Scarcity_cue,6,Scarcity,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,consent
2,1746996556777,"11/05/2025, 20:49:16",1746978556777,-5,"11/05/2025, 10:49:16",226982,9,task-yeyg,,46071227,13397990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x778,,Scarcity_cue,6,Scarcity,Spreadsheet1,1,Display 1,Screen 2,ebpf5f,1,continue,,14102.200000023842,14099.1,14102.200000023842,14102.200000023842,14099.1,14102.200000023842,1,0,0,,Click To Continue,Continue Button,3,object-9,Display 1,scarcity_uti_hd.png,scarcity_hed_hd.png,,consent
3,1746996586709,"11/05/2025, 20:49:46",1746978586709,-5,"11/05/2025, 10:49:46",226982,9,task-yeyg,,46071227,13397990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x778,,Scarcity_cue,6,Scarcity,Spreadsheet1,1,Display 1,Screen 3,fqpwl6,2,response,30,16900.5,29933.1,29935.700000047684,16900.5,29933.1,29935.700000047684,1,13035.200000047684,0,,Single Number Entry,Single Number Entry,6,object-42,Display 1,scarcity_uti_hd.png,scarcity_hed_hd.png,,consent
4,1746996586710,"11/05/2025, 20:49:46",1746978586710,-5,"11/05/2025, 10:49:46",226982,9,task-yeyg,,46071227,13397990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x778,,Scarcity_cue,6,Scarcity,Spreadsheet1,1,Display 1,Screen 3,fqpwl6,2,response,Very unlikely,9817,29933.1,29937.200000047684,9817,29933.1,29937.200000047684,1,20120.200000047684,0,,Rating Scale,Rating Scale,4,object-15,Display 1,scarcity_uti_hd.png,scarcity_hed_hd.png,,consent
5,1746996594909,"11/05/2025, 20:49:54",1746978594909,-5,"11/05/2025, 10:49:54",226982,9,task-yeyg,,46071227,13397990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x778,,Scarcity_cue,6,Scarcity,Spreadsheet1,1,Display 1,Screen 8,yxwrgs,3,continue,,8203.400000000001,8199.599999999999,8203.400000000001,8203.400000000001,8199.599999999999,8203.400000000001,1,0,0,,Click To Continue,Continue Button,6,object-109,Display 1,scarcity_uti_hd.png,scarcity_hed_hd.png,,consent
6,1746996594910,"11/05/2025, 20:49:54",1746978594910,-5,"11/05/2025, 10:49:54",226982,9,task-yeyg,,46071227,13397990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x778,,Scarcity_cue,6,Scarcity,Spreadsheet1,1,Display 1,Screen 8,yxwrgs,3,response,Slightly valuable,4117.300000000003,8199.599999999999,8204.100000047685,4117.300000000003,8199.599999999999,8204.100000047685,1,4086.8000000476823,0,,Rating Scale,Rating Scale,3,object-104,Display 1,scarcity_uti_hd.png,scarcity_hed_hd.png,,consent
7,1746996594910,"11/05/2025, 20:49:54",1746978594910,-5,"11/05/2025, 10:49:54",226982,9,task-yeyg,,46071227,13397990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x778,,Scarcity_cue,6,Scarcity,Spreadsheet1,1,Display 1,Screen 8,yxwrgs,3,response,Trust very little,7383.9000000000015,8199.599999999999,8204.500000023843,7383.9000000000015,8199.599999999999,8204.500000023843,1,820.6000000238419,0,,Rating Scale,Rating Scale,5,object-107,Display 1,scarcity_uti_hd.png,scarcity_hed_hd.png,,consent
8,1746996598405,"11/05/2025, 20:49:58",1746978598405,-5,"11/05/2025, 10:49:58",226982,9,task-yeyg,,46071227,13397990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x778,,Scarcity_cue,6,Scarcity,Spreadsheet1,1,Display 1,Screen 6,hdb9ih,4,continue,,3499.2000000000044,3483.300000000003,3499.2000000000044,3499.2000000000044,3483.300000000003,3499.2000000000044,1,0,0,,Click To Continue,Continue Button,3,object-625,Display 1,scarcity_uti_hd.png,scarcity_hed_hd.png,,consent
9,1746996609462,"11/05/2025, 20:50:09",1746978609462,-5,"11/05/2025, 10:50:09",226982,9,task-yeyg,,46071227,13397990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x778,,Scarcity_cue,6,Scarcity,Spreadsheet1,1,Display 1,Screen 7,anxxu9,5,response,70,6967.5,11067.100000000006,11073.600000023842,6967.5,11067.100000000006,11073.600000023842,1,4106.100000023842,0,,Single Number Entry,Single Number Entry,6,object-73,Display 1,scarcity_uti_hd.png,scarcity_hed_hd.png,,consent
10,1746996609463,"11/05/2025, 20:50:09",1746978609463,-5,"11/05/2025, 10:50:09",226982,9,task-yeyg,,46071227,13397990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x778,,Scarcity_cue,6,Scarcity,Spreadsheet1,1,Display 1,Screen 7,anxxu9,5,response,Somewhat unlikely,5434.100000000006,11067.100000000006,11074.899999976158,5434.100000000006,11067.100000000006,11074.899999976158,1,5640.799999976152,0,,Rating Scale,Rating Scale,4,object-71,Display 1,scarcity_uti_hd.png,scarcity_hed_hd.png,,consent
11,1746996616046,"11/05/2025, 20:50:16",1746978616046,-5,"11/05/2025, 10:50:16",226982,9,task-yeyg,,46071227,13397990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x778,,Scarcity_cue,6,Scarcity,Spreadsheet1,1,Display 1,Screen 9,hrk9he,6,continue,,6590.899999999994,6582.899999999994,6590.899999999994,6590.899999999994,6582.899999999994,6590.899999999994,1,0,0,,Click To Continue,Continue Button,6,object-96,Display 1,scarcity_uti_hd.png,scarcity_hed_hd.png,,consent
12,1746996616047,"11/05/2025, 20:50:16",1746978616047,-5,"11/05/2025, 10:50:16",226982,9,task-yeyg,,46071227,13397990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x778,,Scarcity_cue,6,Scarcity,Spreadsheet1,1,Display 1,Screen 9,hrk9he,6,response,Somewhat valuable,2266,6582.899999999994,6591.299999976152,2266,6582.899999999994,6591.299999976152,1,4325.299999976152,0,,Rating Scale,Rating Scale,3,object-93,Display 1,scarcity_uti_hd.png,scarcity_hed_hd.png,,consent
13,1746996616047,"11/05/2025, 20:50:16",1746978616047,-5,"11/05/2025, 10:50:16",226982,9,task-yeyg,,46071227,13397990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x778,,Scarcity_cue,6,Scarcity,Spreadsheet1,1,Display 1,Screen 9,hrk9he,6,response,Neutral,5982.699999999997,6582.899999999994,6591.500000023836,5982.699999999997,6582.899999999994,6591.500000023836,1,608.800000023839,0,,Rating Scale,Rating Scale,5,object-95,Display 1,scarcity_uti_hd.png,scarcity_hed_hd.png,,consent
14,1746996617913,"11/05/2025, 20:50:17",1746978617913,-5,"11/05/2025, 10:50:17",226982,9,task-yeyg,,46071227,13397990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x778,,Scarcity_cue,6,Scarcity,Spreadsheet1,1,Display 2,Screen 2,7hdzze,1,continue,,1874.6000000238419,1866.6000000000058,1874.6000000238419,1874.6000000238419,1866.6000000000058,1874.6000000238419,1,0,0,,Click To Continue,Continue Button,3,object-50,Display 2,scarcity_uti_choc.png,scarcity_hed_choc.png,,consent
15,1746996628205,"11/05/2025, 20:50:28",1746978628205,-5,"11/05/2025, 10:50:28",226982,9,task-yeyg,,46071227,13397990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x778,,Scarcity_cue,6,Scarcity,Spreadsheet1,1,Display 2,Screen 3,9p8xm6,2,response,10,4349.899999999994,10282.899999999994,10298.599999999991,4349.899999999994,10282.899999999994,10298.599999999991,1,5948.699999999997,0,,Single Number Entry,Single Number Entry,6,object-58,Display 2,scarcity_uti_choc.png,scarcity_hed_choc.png,,consent
16,1746996628207,"11/05/2025, 20:50:28",1746978628207,-5,"11/05/2025, 10:50:28",226982,9,task-yeyg,,46071227,13397990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x778,,Scarcity_cue,6,Scarcity,Spreadsheet1,1,Display 2,Screen 3,9p8xm6,2,response,Very unlikely,1816.5999999999913,10282.899999999994,10298.599999999991,1816.5999999999913,10282.899999999994,10298.599999999991,1,8482,0,,Rating Scale,Rating Scale,4,object-56,Display 2,scarcity_uti_choc.png,scarcity_hed_choc.png,,consent
17,1746996638145,"11/05/2025, 20:50:38",1746978638145,-5,"11/05/2025, 10:50:38",226982,9,task-yeyg,,46071227,13397990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x778,,Scarcity_cue,6,Scarcity,Spreadsheet1,1,Display 2,Screen 6,lalvnl,3,continue,,9958.100000023842,9950.199999999997,9958.100000023842,9958.100000023842,9950.199999999997,9958.100000023842,1,0,0,,Click To Continue,Continue Button,6,object-121,Display 2,scarcity_uti_choc.png,scarcity_hed_choc.png,,consent
18,1746996638146,"11/05/2025, 20:50:38",1746978638146,-5,"11/05/2025, 10:50:38",226982,9,task-yeyg,,46071227,13397990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x778,,Scarcity_cue,6,Scarcity,Spreadsheet1,1,Display 2,Screen 6,lalvnl,3,response,Slightly valuable,2750,9950.199999999997,9958.600000023842,2750,9950.199999999997,9958.600000023842,1,7208.600000023842,0,,Rating Scale,Rating Scale,3,object-118,Display 2,scarcity_uti_choc.png,scarcity_hed_choc.png,,consent
19,1746996638146,"11/05/2025, 20:50:38",1746978638146,-5,"11/05/2025, 10:50:38",226982,9,task-yeyg,,46071227,13397990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x778,,Scarcity_cue,6,Scarcity,Spreadsheet1,1,Display 2,Screen 6,lalvnl,3,response,Do not trust at all,8934.199999999997,9950.199999999997,9958.700000047684,8934.199999999997,9950.199999999997,9958.700000047684,1,1024.5000000476866,0,,Rating Scale,Rating Scale,5,object-120,Display 2,scarcity_uti_choc.png,scarcity_hed_choc.png,,consent
20,1746996639992,"11/05/2025, 20:50:39",1746978639992,-5,"11/05/2025, 10:50:39",226982,9,task-yeyg,,46071227,13397990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x778,,Scarcity_cue,6,Scarcity,Spreadsheet1,1,Display 2,Screen 4,auj52o,4,continue,,1854.199999976161,1850,1854.199999976161,1854.199999976161,1850,1854.199999976161,1,0,0,,Click To Continue,Continue Button,3,object-80,Display 2,scarcity_uti_choc.png,scarcity_hed_choc.png,,consent
21,1746996651137,"11/05/2025, 20:50:51",1746978651137,-5,"11/05/2025, 10:50:51",226982,9,task-yeyg,,46071227,13397990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x778,,Scarcity_cue,6,Scarcity,Spreadsheet1,1,Display 2,Screen 5,6bvrh3,5,response,25,3067.300000000003,11132.900000000009,11149.60000000002,3067.300000000003,11132.900000000009,11149.60000000002,1,8082.3000000000175,0,,Single Number Entry,Single Number Entry,6,object-88,Display 2,scarcity_uti_choc.png,scarcity_hed_choc.png,,consent
22,1746996651138,"11/05/2025, 20:50:51",1746978651138,-5,"11/05/2025, 10:50:51",226982,9,task-yeyg,,46071227,13397990,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x778,,Scarcity_cue,6,Scarcity,Spreadsheet1,1,Display 2,Screen 5,6bvrh3,5,response,Unlikely,1850.6000000000058,11132.900000000009,11149.60000000002,1850.6000000000058,11132.900000000009,11149.60000000002,1,9299.000000000015,0,,Rating Scale,Rating Scale,4,object-86,Display 2,scarcity_uti_choc.png,scarcity_hed_choc.png,,consent
