Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-7gnq,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: hedonic,Spreadsheet: uti,Manipulation: Spreadsheet,branch-4sm5
﻿1,1746994382204,"11/05/2025, 20:13:02",1746976382204,-5,"11/05/2025, 10:13:02",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,consent
2,1746994405096,"11/05/2025, 20:13:25",1746976405096,-5,"11/05/2025, 10:13:25",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 2,ebpf5f,1,continue,,21297.190000023842,21283.188000000002,21297.190000023842,21297.190000023842,21283.188000000002,21297.190000023842,1,0,0,,Click To Continue,Continue Button,3,object-9,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
3,1746994486632,"11/05/2025, 20:14:46",1746976486632,-5,"11/05/2025, 10:14:46",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 3,fqpwl6,2,response,20,28316.380999999998,81532.57800000001,81549.20199995232,28316.380999999998,81532.57800000001,81549.20199995232,1,53232.820999952324,0,,Single Number Entry,Single Number Entry,6,object-42,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
4,1746994486635,"11/05/2025, 20:14:46",1746976486635,-5,"11/05/2025, 10:14:46",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 3,fqpwl6,2,response,Unlikely,11133.255000000001,81532.57800000001,81549.24400000002,11133.255000000001,81532.57800000001,81549.24400000002,1,70415.98900000002,0,,Rating Scale,Rating Scale,4,object-15,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
5,1746994521307,"11/05/2025, 20:15:21",1746976521307,-5,"11/05/2025, 10:15:21",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 9,1162ry,3,continue,,34691.22399997615,34682.908999999985,34691.22399997615,34691.22399997615,34682.908999999985,34691.22399997615,1,0,0,,Click To Continue,Continue Button,6,object-103,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
6,1746994521310,"11/05/2025, 20:15:21",1746976521310,-5,"11/05/2025, 10:15:21",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 9,1162ry,3,response,Somewhat valuable,31166.383,34682.908999999985,34694.52400004768,31166.383,34682.908999999985,34694.52400004768,1,3528.1410000476753,0,,Rating Scale,Rating Scale,3,object-98,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
7,1746994521310,"11/05/2025, 20:15:21",1746976521310,-5,"11/05/2025, 10:15:21",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 9,1162ry,3,response,Trust fairly well,26116.245999999985,34682.908999999985,34694.924000023835,26116.245999999985,34682.908999999985,34694.924000023835,1,8578.67800002385,0,,Rating Scale,Rating Scale,5,object-101,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
8,1746994542640,"11/05/2025, 20:15:42",1746976542640,-5,"11/05/2025, 10:15:42",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 6,hdb9ih,4,continue,,21342.115000047692,21333.37400000001,21342.115000047692,21342.115000047692,21333.37400000001,21342.115000047692,1,0,0,,Click To Continue,Continue Button,3,object-625,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
9,1746994582623,"11/05/2025, 20:16:22",1746976582623,-5,"11/05/2025, 10:16:22",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 7,anxxu9,5,response,20,9449.622000000003,39982.744000000006,39991.340999952314,9449.622000000003,39982.744000000006,39991.340999952314,1,30541.71899995231,0,,Single Number Entry,Single Number Entry,6,object-73,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
10,1746994582626,"11/05/2025, 20:16:22",1746976582626,-5,"11/05/2025, 10:16:22",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 7,anxxu9,5,response,Somewhat unlikely,5933.09599999999,39982.744000000006,39993.74100004768,5933.09599999999,39982.744000000006,39993.74100004768,1,34060.64500004769,0,,Rating Scale,Rating Scale,4,object-71,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
